temperature,pressure,flow_rate,voltage,current,power,vibration_x,vibration_y,humidity,rpm,torque,efficiency,sensor_id,location,plant_version
75.01,1.1715,51.79,213.91,9.634,2180.2,0.1376,0.0011,31.9,1405.0,124.16,0.907,SEN-0000,Plant-C,2.1
77.99,1.0494,51.96,228.22,10.342,2111.6,0.2983,0.0277,53.5,1515.0,112.12,0.85,SEN-0001,Plant-A,2.1
72.26,1.1023,47.9,222.53,9.835,2410.0,0.232,-0.1539,59.4,1450.0,115.86,0.8623,SEN-0002,Plant-B,2.1
66.09,1.3386,60.1,228.94,9.111,2249.8,-0.5599,0.4475,34.4,1435.0,114.69,0.6999,SEN-0003,Plant-B,2.1
70.45,1.2821,51.86,223.98,10.788,2043.1,0.499,0.8565,47.0,1497.0,127.31,0.8213,SEN-0004,Plant-B,2.1
65.08,1.1598,58.88,227.45,9.46,2254.6,-0.3927,-0.1839,32.7,1478.0,112.83,0.9394,SEN-0005,Plant-C,2.1
75.6,1.113,54.8,218.76,9.501,2160.1,-0.5674,-0.1753,30.7,1526.0,124.42,0.7607,SEN-0006,Plant-A,2.1
88.4,1.0106,46.69,223.59,8.62,2391.7,-0.3042,-1.124,45.0,1552.0,135.29,0.8232,SEN-0007,Plant-A,2.1
70.08,1.1606,48.09,233.53,9.214,2094.7,-0.0544,-0.0645,41.5,1381.0,123.61,0.8644,SEN-0008,Plant-C,2.1
68.8,1.1969,52.18,213.88,10.652,1975.3,0.357,-0.2181,65.0,1493.0,103.93,0.8788,SEN-0009,Plant-C,2.1
,1.1916,50.31,225.88,8.382,2206.6,0.3119,-1.0806,30.5,1595.0,121.31,0.9316,SEN-0010,Plant-C,2.1
78.57,1.1906,50.25,228.49,9.929,2165.2,-0.0112,0.1442,55.9,1540.0,130.47,0.7619,SEN-0011,Plant-C,2.1
76.05,1.0878,48.57,222.11,10.718,2158.3,0.4665,0.2955,59.3,1569.0,117.2,0.8521,SEN-0012,Plant-A,2.1
